X_1,X_2,X_3,X_4,X_5
-0.02033315,-0.016955622,-0.021454063,-0.052875267,-0.02605983
-0.010648904,-0.012423062,-0.014741717,-0.026249773,-0.029783285
0.005000083,0.005185959,0.005236758,0.026766832,0.016275135
0.002523397,0.001417183,0.000889652,-0.018804069,-0.006902884
-0.001299819,0.010978127,0.016381831,0.039019936,0.026388457
0.012104684,-0.002490047,0.004923165,-0.009150114,0.001899774
-0.007665347,0.012326995,0.006107316,-0.006589004,-0.002053796
-0.004204077,-0.006118614,-0.007898897,0.01064995,-0.005644692
-0.017378664,-0.007501492,-0.010372925,-0.011785524,-0.01383878
