Y_1,Y_2,Y_3,Y_4
-0.013170365,-0.022073046,-0.06465678,-0.02757289
-0.014409307,-0.017009138,-0.03208404,-0.034917743
0.00539462,0.005368404,0.034872982,0.019315491
0.000175989,-1.88823E-05,-0.026743999,-0.009441692
0.02459678,0.026095909,0.05384094,0.033761723
-0.018717122,0.001009595,-0.016862404,-0.000788112
0.034432599,0.013575673,-0.006193286,-0.000571553
-0.008196337,-0.009887263,0.016055098,-0.006024263
0.003129842,-0.006612538,-0.009778176,-0.012907429
